,userid,payorder,general_isgroup,paid,state,买手入驻申请,入驻,分享有奖,拼团详情,火球买手
103,5ad016e0450fbc6efec2a996,0,,,,,,,,
104,5ad002e81f97433851bf4c1b,0,,,,,,,,
105,5ad06588b31aaa7021b6b171,0,,,,,,,,
106,5ad01432bf06f46f096bdcac,0,,,,,,,,
107,5ad03d05f4edea6f044e3bfc,1,,,,0.0,0.0,1.0,0.0,0.0
108,5ad094e62862a62f347212c6,0,,,,,,,,
109,5ad0012bb96dcb3959f26898,0,,,,,,,,
110,5ad012039cf6793863628473,0,,,,,,,,
111,5ad0404a450fbc6efecc4144,1,,,,,,,,
112,5ad0650a1f0ca62f3b13a1cb,0,,,,,,,,
113,5ad07c506b4d03488adc0d03,0,,,,,,,,
114,5ad0c80222defc47ea40a7c0,0,,,,,,,,
115,5ad0b7a3699cc62e461d8d1e,0,,,,,,,,
116,5ad09111b54aae483e559a4d,0,,,,,,,,
117,5acf8b223dd6406a87f411d3,0,,,,,,,,
118,5ad06254b54aae483e4b7bd7,0,,,,,,,,
119,5ad0342e699cc62e4600d3b5,0,,,,0.0,0.0,1.0,0.0,0.0
120,5ad02ee0d0d3372f53529f93,0,,,,,,,,
121,5ad07157699cc62e460e4e8c,0,,,,,,,,
122,5ad02534699cc62e46fd61c4,0,,,,0.0,0.0,0.0,0.0,1.0
123,5ad056be22defc47ea26aa9f,0,,,,,,,,
124,5ad03aa45fabdf47f0058227,0,,,,,,,,
125,5ad05964450fbc6efed17a5c,0,,,,,,,,
126,5ad0a4012dbd85702aac43be,0,,,,,,,,
127,5ad0565e2e6b536f0f28cdc3,0,,,,,,,,
128,5acf94c41198a2385743534d,0,,,,,,,,
129,5ad05345bf06f46f097a3c4b,0,,,,,,,,
130,5ad0c48eb40344705734860b,0,,,,,,,,
131,5ad05b2d64fc0b48484e0698,0,,,,,,,,
132,5ad0c9302d0c2a2e3fec52d6,0,,,,,,,,
133,5ad0605e699cc62e460aa607,0,,,,,,,,
134,5ad0b3570a6fa92f889e1a20,1,,,,,,,,
135,5ad05c9c897de5476385f7fb,0,,,,,,,,
136,5acff0d56077d1151e973d3f,0,,,,,,,,
137,5ad0b7796b4d03488ae9119b,1,,,,,,,,
138,5ad0ca61f716a54769a36d96,0,,,,,,,,
139,5ad0969064fc0b48485b1721,0,,,,,,,,
140,5ad0640a22defc47ea2978f2,0,,,,,,,,
141,5ad054d22e6b536f0f287aa0,0,,,,,,,,
142,5acfdee7243cbe6a8dcd57b9,0,,,,,,,,
143,5ad04c352e6b536f0f2699bd,0,,,,,,,,
144,5ad0377258f66b2e347f3da6,0,,,,,,,,
145,5ad0b6c2b31aaa7021c8e135,0,,,,,,,,
146,5ad01de62dbd85702a8ee864,0,,,,,,,,
147,5ad01b2d450fbc6efec3b1ab,0,,,,,,,,
148,5ad0a3872e6b536f0f3930f4,0,,,,,,,,
149,5ad06c4ab4034470572036ba,0,,,,,,,,
150,5ad04ed6b4034470571a07e8,0,,,,,,,,
151,5ad07bcfb54aae483e512cdf,0,,,,,,,,
152,5ad00d428471893981b78902,0,,,,,,,,
153,5ad0812df716a54769920f91,0,,,,,,,,
154,5ad041b86b4d03488acf1257,0,,,,,,,,
155,5ad0a0812d0c2a2e3fe221b7,0,,,,,,,,
156,5ad001f45f081c394da579e6,0,,,,,,,,
157,5ad0a9edc077bc700986ce5c,0,,,,,,,,
158,5ad0aad35fabdf47f01e2738,0,,,,,,,,
159,5ad014701f0ca62f3b01ba6a,1,,,,,,,,
160,5ad03d22b403447057162dc3,0,,,,,,,,
161,5ad06e48bf06f46f097fd121,0,,,,0.0,0.0,1.0,0.0,0.0
162,5ad01e00897de54763781fb3,0,,,,,,,,
163,5ad046a7bf06f46f09779ca0,0,,,,,,,,
164,5ad07750ecfb9e2e3a1ecbb2,0,,,,,,,,
165,5ad08c96450fbc6efedc5734,0,,,,,,,,
166,5ad0cb4df716a54769a3b3ab,0,,,,,,,,
167,5ad0b2531f0ca62f3b24a4a5,0,,,,,,,,
168,5ad04c022d0c2a2e3fd00c83,0,,,,,,,,
169,5ad064ab64fc0b48485013ba,0,,,,,,,,
170,5ad0188ce1eefe4896f06571,0,,,,,,,,
171,5ad0529bc077bc700973ffae,0,,,,,,,,
172,5acdca41ad78c97da1ad3fd8,0,,,,,,,,
173,5ad07808450fbc6efed8018c,0,,,,,,,,
174,5ad009368471893981b6a17a,1,,,,,,,,
175,5ad0a354f716a54769996971,0,,,,,,,,
176,5ad0ac0d1f0ca62f3b232387,0,,,,,,,,
177,5ad0c20b897de547639cde61,0,,,,,,,,
178,5ad07663f4edea6f045aacc7,0,,,,,,,,
179,5acffffe3ed3c316475a9c34,0,,,,,,,,
180,5ad01d02c077bc7009679019,0,,,,,,,,
181,5ad07f23bf06f46f0983db7a,0,,,,,,,,
182,5ad06c360a6fa92f888e6dce,1,,,,,,,,
183,5ad0760a0a6fa92f8890a0dc,0,,,,,,,,
184,5ad0693958f66b2e348a16cc,0,,,,,,,,
185,5ad066a3c077bc700978431d,0,,,,,,,,
186,5ad0503aecfb9e2e3a168b4a,0,,,,,,,,
187,5ad04eedd0d3372f5359e40a,0,,,,,,,,
188,5ad09f05b4034470572b591e,0,,,,,,,,
189,5ad09e3a0a6fa92f88993575,0,,,,,,,,
190,5ad007ea59c9413993aa10d0,0,,,,,,,,
191,5ad01c47ecfb9e2e3a0af431,0,,,,,,,,
192,5ad02ac9450fbc6efec73159,0,,,,,,,,
193,5ad08546897de547638ec723,0,,,,,,,,
194,5acff2a059c9413993a541dc,0,,,,,,,,
195,5ad007af3dd6406a87fe2177,0,,,,,,,,
196,5ad0043f5f081c394da600aa,0,,,,,,,,
197,5ad0b317699cc62e461c7913,0,,,,,,,,
198,5ad0a936c077bc7009869c6b,0,,,,,,,,
199,5ad08b23b31aaa7021bee0af,0,,,,,,,,
200,5ad0a9a8b4034470572dba4b,1,,,,,,,,
201,5ad0cbf71f0ca62f3b2b5b2f,0,,,,,,,,
202,5ad09cced0d3372f536a763d,0,,,,,,,,
203,5ad01e9a699cc62e46fbcacc,0,,,,,,,,
204,5ad011ac3e75236a019aaa3b,0,,,,,,,,
205,5ad0698f22defc47ea2abea4,0,,,,,,,,
206,5ad0369bb54aae483e41e8f5,0,,,,,,,,
207,5ad0800fc077bc70097de4a7,0,,,,,,,,
208,5acff567606d0c6b2d0f3473,0,,,,,,,,
