,userid,y
100,5ad71cd20393d70e9c9061c5,0
101,5ad07635897de547638b8282,0
102,5ad9aaa90966b92de175b603,0
103,5ad2c6c71f0ca62f3b76c2fc,0
104,5ad2a4a964fc0b4848ac4d9c,0
105,5ad9d608fffa605511d593d6,0
106,5ad17190b31aaa7021e1224b,0
107,5ad60d8733694634ad13bef2,0
108,5ad5ae9a1d28c60cb364eaa3,1
109,5ad01f22c077bc7009680904,0
110,5ad5fb0071b9623608236371,0
111,5ad149ae699cc62e462ccfca,1
112,5ad667550393d70e9c680ed6,0
113,5ad805dfd31cef1c6d8c6647,0
114,5ad1fd9964fc0b484898a42a,0
115,5ad9cdb1c2639b2dd9264b2b,0
116,5ad2c9712d0c2a2e3f39247b,0
117,5ad3ed3a450fbc6efe67c6ad,0
118,5ad4e1483f91eb22369920d8,1
119,5ad9eb72dc59da2dcbeaa47f,0
120,5ada0dc1ed624f2d75bf973a,0
121,5ad89d502ab5fa2cef218b95,0
122,5ad6e8f0c6a9050d81ce84dd,1
123,5ad2277964fc0b4848a2dc96,0
124,5ad1f7b52e6b536f0f72c42d,1
125,5ad1decef4edea6f0498fc13,0
126,5ad63447d79ce5362b939b4e,0
127,5ad1e848f4edea6f049af635,0
128,5ad5cb42b05c0a0ee6e6c3f9,0
129,5ad1eb23ecfb9e2e3a5f01dc,0
130,5ad6bdd30393d70e9c792eda,0
131,5acf9ee7c65e2e166301b0a8,1
132,5ad5bba80393d70e9c4aca46,1
133,5ad803ab40f5d33ec90ccbf5,0
134,5ad7168e5d3fa40d75adcfe9,0
135,5ad2b1aabf06f46f09dd5af8,1
136,5ad9cf540b5c27551c2ef592,0
137,5ad2174c450fbc6efe225cb2,0
138,5ad81cc58040ab7bc69177cf,0
139,5ad69933b05c0a0ee607a231,1
140,5ad5a85d1d28c60cb3636f3f,0
141,5ad41828ecfb9e2e3ab8e913,0
142,5ad9e3d62ab5fa2cef5f4e4e,0
143,5ad1749b2d0c2a2e3fffed9e,0
144,5ad8671599cd782e23a9f9eb,1
